---𝑘|𝑛=𝑘·𝑛ⱼ·𝑛ᵢ |-----tⱼᵢ------|--------tₜₒₜₐₗ---------|------data e hora (utc)-------|ƒₙ(1/𝑒ᵉ) → 1/𝑒 ≈ 0.36787944117144 

----|----------|------|-------|---------|-------------|1446398661|2015/11/01 17:24:21|
   1|    500000| 815.0|13:35.0|    815.0|00 00:13:35.0|1446399476|2015/11/01 17:37:56|0.36915490410429727085442369499451598700258542516592936110738699726609953435080759224667809624774450165198095607724920942557589424539245393585929139739959187785308532321388365120719940168639982623215381518831230998327160885106456550028003218813547432153534731672113407306007044968957510314735427687488782404461513578897393482680826520549401800245728411123703365791156696535031590339620240290435728022562332645884569705357674917406095688053217075809392932034318483190333168394593991367646137232237634099
   2|   1000000| 750.0|12:30.0|   1565.0|00 00:26:05.0|1446400226|2015/11/01 17:50:26|0.3687811053369587113854941169016419220270895863334543425504167200344830764983936557780714430823041023432893527496407291892530482743512176793792373329471817134488511182627574115953143997152830521344384352764760828671556622769101401846920183367856405127418104824227322075689803816788869017594069515596757341148534013295380963223610739692491090040967518706844648938196138405522585558799741347495142594075003928601271942611468577998801856934850635946149494944594242537471582810787763124980643325435320058
   3|   1500000| 687.0|11:27.0|   2252.0|00 00:37:32.0|1446400913|2015/11/01 18:01:53|0.36861556539318574179521730834151915159280753586703916534028826615086193371278073820909023313601490264154932661839656082484338652642652421927527609265253686433885720003097931732738334658125191735488918657404528390637864062558277817622379051646461891799310803709088048748779534224104272867248503010018308024303529480948287142999248560337980072156566322286691872706569494981633378678840851629524595800971156663111166869819197911413449342162011098211373003321208303210686710782656734672840581067191305045
   4|   2000000| 668.0|11:08.0|   2920.0|00 00:48:40.0|1446401581|2015/11/01 18:13:01|0.36851690129052918830985186207987700945072344251827109464134161295523317102102132148384735677781435179465470713942535666740765269463333761014117814994873548745637086010963695800417596526922553364460079960967996983416363398338908971265286270095856843148983820787295590106862811477722860972085362347013922963990957227574616485240042200216767484677349620421701981564268348581821832059445638800384228920721861996211218261230598083632833649984986733822139607035179998812115593566923342671630222034225285115
   5|   2500000| 656.0|10:56.0|   3576.0|00 00:59:36.0|1446402237|2015/11/01 18:23:57|0.36844957706790528031740103441006649167402795946958976755091178425999174461115636316286481803422234721206308706414482166746717637655162699767872773048974260053832366456141740350696317687863531991269719371900816256407954948088904372758800539796378087297584412793257200493731516906880031150601273017268401458078473070600022719245859854296741207580315973305647356575890577958240268660694053149542633128492342861212105304206335982167545683900052183403241531705328777185276440647582307507416081195286126774
   6|   3000000| 656.0|10:56.0|   4232.0|00 01:10:32.0|1446402893|2015/11/01 18:34:53|0.36839988427683346423572293417506157649338799179379425060451448607127971574951127511298046755136319885993840953844214251099997775638817540828463067160663432395508087462127817152809796302176324729785263646113905454612482648984765596260327549602152857575228720578269639860583569441193122659000824220338320584147780211975067199220996041058378664864270528228671890064325275332685218806175575406880498604321938825531457970907476015420632789755414097494176544344564357698980288461644879658209821164374306603
   7|   3500000| 653.0|10:53.0|   4885.0|00 01:21:25.0|1446403546|2015/11/01 18:45:46|0.36836126534411134123800977135550470179905588933866751073989846583940634392292228095198422357475200612318735858517609677913647951028823425273557342975362388503003986931423322741889198515484159263700759196989997972331901231157251834203933103324195622884069537102807282789221673348431371913494789231256898244078028085554886205297751279013281797659081535850382175605385423504792559921386616830343769002167608358681420233320805971114743416629865776234619255100253472421205804869308833813077193707400423407
   8|   4000000| 642.0|10:42.0|   5527.0|00 01:32:07.0|1446404188|2015/11/01 18:56:28|0.36833013697301194478552432666807788683329555101741520342744888537287741262148423357028120162218219584037666709989983103379096732129272422178709212074898495362041837540034325431667092228865056459863330940447654812953100375218037400128169384637762165567040636128486170576826418678076326312593302608853759907206175409668126741650574860809179347100333666991377456866864150783175895825080073470884925888365422459532119335325934598923863870965825241591780500270213984839305097301732043568930458932377658137
   9|   4500000| 642.0|10:42.0|   6169.0|00 01:42:49.0|1446404830|2015/11/01 19:07:10|0.36830435387083966861344314651988480001843551811154420463269690433755961716011176213200741289189409616991634764120314431105915448875865077906569428871951414773970265269899982525682605770818974449581894404906666939501047399872044003166430151335563037197687024790529806766162854283485402016016470574795401420598416565319657944904938099006819060383216521524445925964722343726602677792908944130551868120104935918008450986601608144972903326374194696114848183635860747135702563309889668214079794657309764768
  10|   5000000| 641.0|10:41.0|   6810.0|00 01:53:30.0|1446405471|2015/11/01 19:17:51|0.36828254282935043347480208879903779641243861231719949560253932584926632715263825691364659904213484392217924553153982016088182360648587550325594745128611767508168020263340277644049900697625364826468125546507928517106445000012101636596838271980407313194744002545359823316200217236070426927822553180274446096225517400257193333916042053247960055861405268278381152105070966375135643675174138529066188418084757968471654240234040046622543850954425747851453723197532253508971843357742190619117737970929796787
  11|   5500000| 633.0|10:33.0|   7443.0|00 02:04:03.0|1446406104|2015/11/01 19:28:24|0.36826377866152276085896762876810692743080686980326364791400286626226970922015777345524259131056674729796045412530873539528372611223524195379898576181178931249845760628705144308198468850887831886570720273230176135955693561959109371707537278189799775698852524135460668638783692655469302826439914204906109623734365410132424504077738462313648626897150389339847221895944494788067372297546306325190218069341987303435508111081482376234862073081950279594433628816229557345639322421688652327411608068932625533
  12|   6000000| 631.0|10:31.0|   8074.0|00 02:14:34.0|1446406735|2015/11/01 19:38:55|0.36824741224280521016042923223184880886916801942455242472578129615090045053881060278612318034553906146726045550714826085180407683155693855808051950044180066763350222908757442724199081722425893224422802058188193767149429360838984062203542174525199863607288115472792229998757493876066319374938624358823088061507404600403696287832079183653996103958727247565377926944255157200320135703390193583489031338893788967161716101894789112876677114508085170593412741640362383061257341788920439216548552029961372083
  13|   6500000| 633.0|10:33.0|   8707.0|00 02:25:07.0|1446407368|2015/11/01 19:49:28|0.36823297289874669542218091006097038217932349794633872813827774156260289407558540276796927725668516115834157398478192848167215971309179907303363791008550006259616181474963300054771764828099766514882815159427661513318234474805313550695692012844836163634931114790618463337571318126018859486447504034263967320645330335926699955926385561412781039628227033015784496268614097310570518424798640553211498031806968527718681404626702161339970203370119402738141347100039787000817586966152802295664722457746908873
  14|   7000000| 649.0|10:49.0|   9356.0|00 02:35:56.0|1446408017|2015/11/01 20:00:17|0.36822010991217343588968857137518134622889873695566525589833593252136365762598321606268654514533158304538830524342838101015880023693025987706073157104633616431184691034810200552798110311657807787355311614369484667950317031561829739437330561140226574867938105972435362206473202126136768618744640470109815456795989789891518247318944505697804514394586201118749539324393758152356951165820290443418114471742126211462235174203728753702529159992282094614596960448756410359990620195410706931279600999921727862
  15|   7500000| 691.0|11:31.0|  10047.0|00 02:47:27.0|1446408708|2015/11/01 20:11:48|0.36820855587691884585180922325623110034625107102754363938997466536540595516697531697634374696152605667009250286640424031204483065068676515569889463847236760908471002759194801956030671741420018403258399363898747820935549159517152616941373970720559676587635284139128733046481040662692820310454831645063616147058063452812653099216530532042066347683150243678137496683032184065862947637667174321784539708676546498729693567045084318352182963815367976532584758596865380850446597513411192466166726466493371276
  16|   8000000| 689.0|11:29.0|  10736.0|00 02:58:56.0|1446409397|2015/11/01 20:23:17|0.36819810286680683629648327553873022515732624117875572636530450759761250499828356591996431585262540671705404986955049645952577984004147154222796429583958665975910597117488316338174072555757295710192797588273232942816791425627724380036061528552484962403469092886238775622618696374873887687670036557229555291715160406653392743926256684027338862660920070449756919045268577060071770361015954298294950084250371608843824164080085970970169293046777820740897103664335498156869722771494651703932264527302310725
  17|   8500000| 645.0|10:45.0|  11381.0|00 03:09:41.0|1446410042|2015/11/01 20:34:02|0.36818858643946737173324815015415068310780477512432020085757452277696695761998602725530004336239735527106510222883414709492605466769223891357952099514076642486775812646683728381020134445800955641544355762578020030266839092147463169160333746803134378057746239462356844579502883812460572998581041126124016386806537551141667280630529378188192150067260654184342182107700374371638093023276417940285814052124709248233334318437834062184535113206221151372970261398500024302170887041084553620142347600080126887
  18|   9000000| 671.0|11:11.0|  12052.0|00 03:20:52.0|1446410713|2015/11/01 20:45:13|0.36817987460216370134948537497374706896002241021058566998052667108678729369772803019669469775355108880967666496846165058359862990422071231082712847215119490623798213743121188649466017347415566849677874347771623316798544942101692896227017255562803941916709238914000930580818813071719905520303066799841589950030037742527664846334968976495433957498658268229701685782794174690513377318232210402176221494774650025110403595660883476464111154637923848353233295409501815209177811630274524000821629138848128675
  19|   9500000| 676.0|11:16.0|  12728.0|00 03:32:08.0|1446411389|2015/11/01 20:56:29|0.36817186001748275578954879208902931831832611641077450009157103590394008502255466899978738153637026346299900439326943846018588234431859880615926142665974063187153747830144695871233980404551006885102304441674085587084716538201220791203897603907381162554195511456024160973463859112340094736402369225660931242427406887098524538566544696663906493859805057488319317948055777882857036586880671936362075378684452412094057155001589188418989420136515008726648070686212482723529008372780944485661094956889714831
