n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
  0  00.00  00.00  1.0000000000000000000000000000000  0.5000000000000000000000000000000  0.0000000000000000000000000000000  0.5000000000000000000000000000000  
  2  00.01  00.02  0.7834305107121343203502306096200  0.5731215670436194953296649146100  0.2165694892878656796497693903800  0.2103089436685148250205656950100  
  4  00.04  00.07  0.7313397798915710623646191379500  0.5975776349457144753785087232200  0.2686602201084289376353808620500  0.1337621449458565869861104147300  
  6  00.10  00.05  0.7106589413983666059237975787200  0.6088236674897090638935992501500  0.2893410586016333940762024212700  0.1018352739086575420301983285800  
  8  00.06  00.05  0.7002371602402724937164180119000  0.6149950812974244174213822589100  0.2997628397597275062835819881000  0.0852420789428480762950357529920  
 10  00.07  00.14  0.6941860893836224732922346447600  0.6187864418352215789553838476400  0.3058139106163775267077653552400  0.0753996475484008943368507971170  
 12  00.14  00.10  0.6903267341120873368254251545300  0.6213049206571787941300044622000  0.3096732658879126631745748454700  0.0690218134549085426954206923260  
 14  00.10  00.10  0.6876953667409648751629447360700  0.6230761823349525441173568651700  0.3123046332590351248370552639200  0.0646191844060123310455878709040  
 16  00.15  00.14  0.6858097002094195593357994766800  0.6243772339004006743934382939200  0.3141902997905804406642005233100  0.0614324663090188849423611827660  
 18  00.15  00.16  0.6844053823863474050881450239100  0.6253660390130405533071211721100  0.3155946176136525949118549760900  0.0590393433733068517810238518000  
 20  00.19  00.15  0.6833270197086152020204963264400  0.6261384249938183321759765931300  0.3166729802913847979795036735600  0.0571885947147968698445197333050  
 22  00.19  00.19  0.6824780597879051002863093344800  0.6267554911027670705436776188400  0.3175219402120948997136906655200  0.0557225686851380297426317156350  
 24  00.25  00.20  0.6817957470544430131909052761300  0.6272578199546890997950754353900  0.3182042529455569868090947238700  0.0545379270997539133958298407380  
 26  00.26  00.20  0.6812377423941108345317729799700  0.6276733038893315130835048876200  0.3187622576058891654682270200300  0.0535644385047793214482680923530  
 28  00.34  00.20  0.6807745699261542604574515280500  0.6280216767722571757914806767100  0.3192254300738457395425484719400  0.0527528931538970846659708513470  
 30  00.30  00.30  0.6803851518732336733918941718000  0.6283172518357306168823583902800  0.3196148481267663266081058282000  0.0520679000375030565095357815150  
