n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
 98  01.02  00.91  0.6773492635034014108796895925500  0.6307435492778080687870101428400  0.3226507364965985891203104074500  0.0466057142255933420926794497060  
100  01.16  00.97  0.6773303747025637422396471265500  0.6307597427479185725474053469900  0.3226696252974362577603528734500  0.0465706319546451696922417795570  
102  01.09  00.98  0.6773124023715718644567118644800  0.6307751739133742319154407596200  0.3226875976284281355432881355200  0.0465372284581976325412711048560  
104  01.02  00.97  0.6772952855011709072385883700900  0.6307898922574617373015826160500  0.3227047144988290927614116299100  0.0465053932437091699370057540360  
106  01.11  01.10  0.6772789682034598968130012508500  0.6308039431991312451231124214200  0.3227210317965401031869987491500  0.0464750250043286516898888294230  
108  01.23  01.15  0.6772633991962760946492494440400  0.6308173684943905179522971593500  0.3227366008037239053507505559500  0.0464460307018855766969522846920  
110  01.17  01.08  0.6772485313478080470872555451900  0.6308302065916159273584185029900  0.3227514686521919529127444548100  0.0464183247561921197288370422030  
112  01.52  01.17  0.6772343212734658335349990920800  0.6308424929467850716946486500100  0.3227656787265341664650009079200  0.0463918283266807618403504420710  
114  01.29  01.08  0.6772207289782136152567204590000  0.6308542603037623486272877926200  0.3227792710217863847432795410000  0.0463664686744512666294326663770  
116  01.20  01.11  0.6772077175385460279244398407200  0.6308655389440395167000019682700  0.3227922824614539720755601592800  0.0463421785945065112244378724420  
118  01.24  01.15  0.6771952528191275133551130238600  0.6308763569097097789750705487700  0.3228047471808724866448869761400  0.0463188959094177343800424750950  
120  01.24  01.21  0.6771833032198090185360683790300  0.6308867402029375570648994653300  0.3228166967801909814639316209600  0.0462965630168714614711689137040  
122  01.36  01.24  0.6771718394493217996199518893200  0.6308967129647385929658298664400  0.3228281605506782003800481106700  0.0462751264845832066541220228830  
124  01.28  01.28  0.6771608343224619908085060160400  0.6309062976355104268577633774800  0.3228391656775380091914939839600  0.0462545366869515639507426385530  
126  01.32  01.29  0.6771502625779892703405948850500  0.6309155150994308902667739857800  0.3228497374220107296594051149400  0.0462347474785583800738208992700  
128  01.44  01.31  0.6771401007148438733196371686000  0.6309243848145706934360532613900  0.3228598992851561266803628313900  0.0462157159002731798835839072120  
130  01.44  01.32  0.6771303268445829637300903414100  0.6309329249303247122426796522600  0.3228696731554170362699096585900  0.0461974019142582514874106891510  
132  01.48  01.32  0.6771209205582167101056256797100  0.6309411523935715138122759526600  0.3228790794417832898943743202800  0.0461797681646451962933497270570  
134  01.48  01.37  0.6771118628058407917791328145500  0.6309490830447905818090248430900  0.3228881371941592082208671854500  0.0461627797610502099701079714580  
136  01.49  01.44  0.6771031357876732270639763555600  0.6309567317052191537385397168700  0.3228968642123267729360236444300  0.0461464040824540733254366386970  
138  01.55  01.41  0.6770947228552639529652878991300  0.6309641122560006865072068649200  0.3229052771447360470347121008700  0.0461306105992632664580810342160  
140  01.56  01.41  0.6770866084217967983960306810300  0.6309712377101609481755417618800  0.3229133915782032016039693189700  0.0461153707116358502204889191490  
142  01.61  01.44  0.6770787778805342771448749772400  0.6309781202781546971536386081400  0.3229212221194657228551250227600  0.0461006576023795799912363690960  
144  01.61  01.44  0.6770712175305609870079592838000  0.6309847714276345387318656321400  0.3229287824694390129920407162000  0.0460864461029264482760936516570  
146  01.61  01.48  0.6770639145090839861040876712600  0.6309912019380251591016417478400  0.3229360854909160138959123287300  0.0460727125710588270024459234260  
148  01.66  01.40  0.6770568567296347817219270837100  0.6309974219504140835468319892200  0.3229431432703652182780729162900  0.0460594347792206981750950944840  
150  01.65  01.53  0.6770500328255768529572833358500  0.6310034410132207005617033246400  0.3229499671744231470427166641500  0.0460465918123561523955800112160  
152  01.69  01.56  0.6770434320984144438426710621600  0.6310092681240481171656142578300  0.3229565679015855561573289378400  0.0460341639743663266770568043280  
154  01.70  01.57  0.6770370444704254531131937255800  0.6310149117680827757226325047700  0.3229629555295745468868062744100  0.0460221327023426773905612208180  
156  01.73  01.60  0.6770308604412127451155356538900  0.6310203799533669055676909920300  0.3229691395587872548844643461000  0.0460104804878458395478446618650  
158  01.61  01.61  0.6770248710478041775928659262700  0.6310256802432329115148945675200  0.3229751289521958224071340737300  0.0459991908045712660779713587540  
160  01.77  01.78  0.6770190678279697227281985760800  0.6310308197861621559709988105200  0.3229809321720302772718014239200  0.0459882480418075667571997655610  
162  01.78  01.64  0.6770134427864598070101465054900  0.6310358053432992830877878986900  0.3229865572135401929898534945100  0.0459776374431605239223586067960  
164  01.81  01.68  0.6770079883639023021757452625000  0.6310406433138345816402647869800  0.3229920116360976978242547375000  0.0459673450500677205354804755190  
166  01.83  01.69  0.6770026974081162496332808586900  0.6310453397584405710318833371300  0.3229973025918837503667191413100  0.0459573576496756786013975215610  
168  01.73  01.73  0.6769975631476312649681403854600  0.6310499004209344509064294470600  0.3230024368523687350318596145400  0.0459476627266968140617109384040  
170  01.86  01.73  0.6769925791672161130563267761300  0.6310543307483194030993445267100  0.3230074208327838869436732238700  0.0459382484188967099569822494230  
172  01.89  01.77  0.6769877393852462565959626772400  0.6310586359093434127842670022800  0.3230122606147537434040373227600  0.0459291034759028438116956749580  
174  01.93  01.75  0.6769830380327493957182127815000  0.6310628208117003978827597165900  0.3230169619672506042817872185000  0.0459202172210489978354530649080  
176  01.96  01.79  0.6769784696339898877326390902400  0.6310668901179875556195497665600  0.3230215303660101122673609097500  0.0459115795160023321130893236840  
178  01.98  01.81  0.6769740289884592643332439365600  0.6310708482605208446969413671500  0.3230259710115407356667560634400  0.0459031807279384196363025694150  
180  01.98  01.82  0.6769697111541631562303678038000  0.6310746994551036381793096552400  0.3230302888458368437696321962000  0.0458950116990595180510581485580  
182  02.12  01.95  0.6769655114320904942815104732300  0.6310784477138307035914976950100  0.3230344885679095057184895267700  0.0458870637182597906900127782140  
184  02.03  01.89  0.6769614253517749480337784007100  0.6310820968570066691327724584000  0.3230385746482250519662215992900  0.0458793284947682789010059423160  
186  02.03  01.89  0.6769574486578602279251981599400  0.6310856505242479208561690029400  0.3230425513421397720748018400600  0.0458717981336123070690291569920  
188  02.10  01.91  0.6769535772975856513511416778800  0.6310891121848322127263486436300  0.3230464227024143486488583221200  0.0458644651127534386247930342500  
190  02.23  01.81  0.6769498074091259143258980657200  0.6310924851473546093316713268000  0.3230501925908740856741019342700  0.0458573222617713049942267389270  
192  02.12  01.94  0.6769461353107141254881184977400  0.6310957725687419417326395887300  0.3230538646892858745118815022600  0.0458503627419721837554789090060  
194  02.14  01.98  0.6769425574904892606298290047500  0.6310989774626747372821000681100  0.3230574425095107393701709952400  0.0458435800278145233477289366420  
196  02.18  01.99  0.6769390705970140809100143997000  0.6311021027074630307396319040000  0.3230609294029859190899856002900  0.0458369678895510501703824957070  
198  02.19  02.02  0.6769356714304103350698937902000  0.6311051510534128050622371120000  0.3230643285695896649301062097900  0.0458305203769975300076566782080  
200  02.19  02.06  0.6769323569340700563756740848500  0.6311081251297248062570588444900  0.3230676430659299436243259151500  0.0458242318043452501186152403530  
202  02.37  02.07  0.6769291241868931052749758237000  0.6311110274509565964962121142900  0.3230708758131068947250241763000  0.0458180967359365087787637094150  
204  02.43  02.06  0.6769259703960206486783590662500  0.6311138604230810411621632738400  0.3230740296039793513216409337500  0.0458121099729396075161957924140  
206  02.44  02.07  0.6769228928900212771679889556200  0.6311166263491695405107861915900  0.3230771071099787228320110443700  0.0458062665408517366572027640360  
208  02.47  02.11  0.6769198891125033368254548804500  0.6311193274347270953938959792100  0.3230801108874966631745451195500  0.0458005616777762414315589012400  
210  02.48  02.15  0.6769169566161193918318872420000  0.6311219657927025217247773980500  0.3230830433838806081681127579900  0.0457949908234168701071098439570  
212  02.50  02.15  0.6769140930569361724877808228500  0.6311245434481979055263423106200  0.3230859069430638275122191771500  0.0457895496087382669614385122260  
214  02.52  02.16  0.6769112961891453617013780785800  0.6311270623428962833756372674500  0.3230887038108546382986219214200  0.0457842338462490783257408111240  
216  02.71  02.22  0.6769085638600914611728853742500  0.6311295243392289755490764946400  0.3230914361399085388271146257500  0.0457790395208624856238088796090  
218  02.59  02.20  0.6769058940055928674794927246700  0.6311319312242974488569302593500  0.3230941059944071325205072753300  0.0457739627812954186225624653160  
220  02.60  02.27  0.6769032846455402818719448987400  0.6311342847135689160253946283800  0.3230967153544597181280551012600  0.0457689999319713658465502703620  
222  02.61  02.28  0.6769007338797496942106590722700  0.6311365864543584391910258091200  0.3230992661202503057893409277300  0.0457641474253912550196332631460  
224  02.64  02.27  0.6768982398840569514320009147900  0.6311388380291131916521862876800  0.3231017601159430485679990852100  0.0457594018549437597798146271090  
226  02.65  02.32  0.6768958009066324832403438449500  0.6311410409585106462415637906800  0.3231041990933675167596561550400  0.0457547599481218369987800542730  
228  02.69  02.31  0.6768934152645100787992760160700  0.6311431967043836799291511852000  0.3231065847354899212007239839300  0.0457502185601263988701248308640  
230  02.72  02.35  0.6768910813403063997384379035800  0.6311453066724831417744212558300  0.3231089186596936002615620964200  0.0457457746678232579640166477470  
232  02.73  02.35  0.6768887975791247901824476684800  0.6311473722150876541903130601000  0.3231112024208752098175523315100  0.0457414253640371359921346083860  
234  02.76  02.37  0.6768865624856322815716680452200  0.6311493946334720828161835015600  0.3231134375143677184283319547800  0.0457371678521601987554845436530  
236  02.80  02.40  0.6768843746212946932416798517800  0.6311513751802412253155694088500  0.3231156253787053067583201482200  0.0457329994410534679261104429310  
238  02.80  02.42  0.6768822326017619461779872835900  0.6311533150615394882620989847000  0.3231177673982380538220127164100  0.0457289175402224579158882988850  
240  02.98  02.65  0.6768801350943962624739924649500  0.6311552154391413260725585132600  0.3231198649056037375260075350500  0.0457249196552549364014339516870  
242  02.85  02.51  0.6768780808159303719051536063500  0.6311570774324325450166384143800  0.3231219191840696280948463936500  0.0457210033834978268885151919670  
