n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
662  00.71  00.53  0.6767503666831498065903360839002  0.6312748124596065935065780649893  0.3232496333168501934096639160998  0.0454755542235432130837580189109  
664  00.71  00.53  0.6767502033281564965960797053413  0.6312749665524884923328841068724  0.3232497966718435034039202946587  0.0454752367756680042631955984689  
666  00.71  00.53  0.6767500412003343290834322942828  0.6312751195016441663199202594114  0.3232499587996656709165677057172  0.0454749216986901627635120348714  
668  00.71  00.53  0.6767498802868231466689508124546  0.6312752713189353492850841576001  0.3232501197131768533310491875454  0.0454746089678877973838666548545  
670  00.72  00.55  0.6767497205749354316495214334282  0.6312754220160665674654865142656  0.3232502794250645683504785665718  0.0454742985588688641840349191625  
672  00.72  00.53  0.6767495620521539745340078297886  0.6312755716045861387186732827104  0.3232504379478460254659921702114  0.0454739904475678358153345470782  
674  00.71  00.54  0.6767494047061275441734551350237  0.6312757200958901693255143072747  0.3232505952938724558265448649763  0.0454736846102373748479408277490  
676  00.72  00.55  0.6767492485246705546941825559770  0.6312758675012247744362525736506  0.3232507514753294453058174440230  0.0454733810234457802579299823265  
678  00.72  00.54  0.6767490934957586246056848722219  0.6312760138316872993158312965534  0.3232509065042413753943151277781  0.0454730796640713252898535756685  
680  00.72  00.55  0.6767489396075264673768856482639  0.6312761590982308712582948828640  0.3232510603924735326231143517361  0.0454727805092955961185907653999  
682  00.72  00.55  0.6767487868482650048562732081336  0.6312763033116641775421840065974  0.3232512131517349951437267918664  0.0454724835366008273140892015363  
684  00.70  00.55  0.6767486352064199239819686226838  0.6312764464826554622334242594661  0.3232513647935800760180313773162  0.0454721887237644617485443632177  
686  00.70  00.56  0.6767484846705876799788370590250  0.6312765886217351907205852512561  0.3232515153294123200211629409750  0.0454718960488524892582518077688  
688  00.70  00.56  0.6767483352295144971577656178852  0.6312767297392958276702756847953  0.3232516647704855028422343821148  0.0454716054902186694874899330898  
690  00.70  00.56  0.6767481868720921500681697580148  0.6312768698455967220084517066425  0.3232518131279078499318302419852  0.0454713170264954280597180513723  
692  00.69  00.56  0.6767480395873589626987154588278  0.6312770089507643289650218321185  0.3232519604126410373012845411722  0.0454710306365946337336936267093  
694  00.74  00.56  0.6767478933644937022506837820401  0.6312771470647957627875257458072  0.3232521066355062977493162179599  0.0454707462996979394631580362329  
696  00.74  00.55  0.6767477481928156901602733341861  0.6312772841975592408303441516182  0.3232522518071843098397266658139  0.0454704639952564493299291825679  
698  00.74  00.56  0.6767476040617809163180140785698  0.6312774203587975252460751107719  0.3232523959382190836819859214302  0.0454701837029833910719389677979  
700  00.74  00.57  0.6767474609609830382694894979068  0.6312775555581289221862562044407  0.3232525390390169617305105020932  0.0454699054028541160832332934660  
702  00.74  00.56  0.6767473188801464978325839183526  0.6312776898050498353143211716088  0.3232526811198535021674160816474  0.0454696290750966625182627467439  
704  00.75  00.57  0.6767471778091289635881366848480  0.6312778231089360980732294592599  0.3232528221908710364118633151520  0.0454693547001928655149072255881  
706  00.75  00.58  0.6767470377379164458986338104296  0.6312779554790451941315154726908  0.3232529622620835541013661895704  0.0454690822588712517671183377388  
708  00.75  00.58  0.6767468986566230748636030511989  0.6312780869245183668070353633084  0.3232531013433769251363969488011  0.0454688117321047080565676878905  
