   k     k*nj*ni   tji        t total   fn

2015-11-01 17:24:21-01:00
0009   004500000   642   0 01:42:49.0   0.36830435387083966861344314651988480001843551811154420463269690433755961716011176213200741289189409616991634764120314431105915448875865077906569428871951414773970265269899982525682605770818974449581894404906666939501047399872044003166430151335563037197687024790529806766162854283485402016016470574795401420598416565319657944904938099006819060383216521524445925964722343726602677792908944130551868120104935918008450986601608144972903326374194696114848183635860747135702563309889668214079794657309764768
0010   005000000   641   0 01:53:30.0   0.36828254282935043347480208879903779641243861231719949560253932584926632715263825691364659904213484392217924553153982016088182360648587550325594745128611767508168020263340277644049900697625364826468125546507928517106445000012101636596838271980407313194744002545359823316200217236070426927822553180274446096225517400257193333916042053247960055861405268278381152105070966375135643675174138529066188418084757968471654240234040046622543850954425747851453723197532253508971843357742190619117737970929796787
0011   005500000   633   0 02:04:03.0   0.36826377866152276085896762876810692743080686980326364791400286626226970922015777345524259131056674729796045412530873539528372611223524195379898576181178931249845760628705144308198468850887831886570720273230176135955693561959109371707537278189799775698852524135460668638783692655469302826439914204906109623734365410132424504077738462313648626897150389339847221895944494788067372297546306325190218069341987303435508111081482376234862073081950279594433628816229557345639322421688652327411608068932625533
0012   006000000   631   0 02:14:34.0   0.36824741224280521016042923223184880886916801942455242472578129615090045053881060278612318034553906146726045550714826085180407683155693855808051950044180066763350222908757442724199081722425893224422802058188193767149429360838984062203542174525199863607288115472792229998757493876066319374938624358823088061507404600403696287832079183653996103958727247565377926944255157200320135703390193583489031338893788967161716101894789112876677114508085170593412741640362383061257341788920439216548552029961372083
0013   006500000   633   0 02:25:07.0   0.36823297289874669542218091006097038217932349794633872813827774156260289407558540276796927725668516115834157398478192848167215971309179907303363791008550006259616181474963300054771764828099766514882815159427661513318234474805313550695692012844836163634931114790618463337571318126018859486447504034263967320645330335926699955926385561412781039628227033015784496268614097310570518424798640553211498031806968527718681404626702161339970203370119402738141347100039787000817586966152802295664722457746908873
0014   007000000   649   0 02:35:56.0   0.36822010991217343588968857137518134622889873695566525589833593252136365762598321606268654514533158304538830524342838101015880023693025987706073157104633616431184691034810200552798110311657807787355311614369484667950317031561829739437330561140226574867938105972435362206473202126136768618744640470109815456795989789891518247318944505697804514394586201118749539324393758152356951165820290443418114471742126211462235174203728753702529159992282094614596960448756410359990620195410706931279600999921727862
0015   007500000   691   0 02:47:28.0   0.36820855587691884585180922325623110034625107102754363938997466536540595516697531697634374696152605667009250286640424031204483065068676515569889463847236760908471002759194801956030671741420018403258399363898747820935549159517152616941373970720559676587635284139128733046481040662692820310454831645063616147058063452812653099216530532042066347683150243678137496683032184065862947637667174321784539708676546498729693567045084318352182963815367976532584758596865380850446597513411192466166726466493371276
0016   008000000   689   0 02:58:58.0   0.36819810286680683629648327553873022515732624117875572636530450759761250499828356591996431585262540671705404986955049645952577984004147154222796429583958665975910597117488316338174072555757295710192797588273232942816791425627724380036061528552484962403469092886238775622618696374873887687670036557229555291715160406653392743926256684027338862660920070449756919045268577060071770361015954298294950084250371608843824164080085970970169293046777820740897103664335498156869722771494651703932264527302310725
0017   008500000   645   0 03:09:44.0   0.36818858643946737173324815015415068310780477512432020085757452277696695761998602725530004336239735527106510222883414709492605466769223891357952099514076642486775812646683728381020134445800955641544355762578020030266839092147463169160333746803134378057746239462356844579502883812460572998581041126124016386806537551141667280630529378188192150067260654184342182107700374371638093023276417940285814052124709248233334318437834062184535113206221151372970261398500024302170887041084553620142347600080126887
0018   009000000   671   0 03:20:56.0   0.36817987460216370134948537497374706896002241021058566998052667108678729369772803019669469775355108880967666496846165058359862990422071231082712847215119490623798213743121188649466017347415566849677874347771623316798544942101692896227017255562803941916709238914000930580818813071719905520303066799841589950030037742527664846334968976495433957498658268229701685782794174690513377318232210402176221494774650025110403595660883476464111154637923848353233295409501815209177811630274524000821629138848128675
0019   009500000   676   0 03:32:13.0   0.36817186001748275578954879208902931831832611641077450009157103590394008502255466899978738153637026346299900439326943846018588234431859880615926142665974063187153747830144695871233980404551006885102304441674085587084716538201220791203897603907381162554195511456024160973463859112340094736402369225660931242427406887098524538566544696663906493859805057488319317948055777882857036586880671936362075378684452412094057155001589188418989420136515008726648070686212482723529008372780944485661094956889714831
0020   010000000   670   0 03:43:25.0   0.36816445438150387447050564601829450476271673885975920770568709294237422867853091489520297684425100428669059373762209290498590921049314942563375274140525530374862489079717041045184106618712694331930493732251280476229441472268059913220670554312237479189985791181309198598564232530761845415177268440567914231148839872398825971898924497523610531519631115853083871777909464675814859321896223240689761922396554327740632230881016382033392187171773466251941921148829175045950180831158549576940322292978248196
0021   010500000   655   0 03:54:21.0   0.36815758429327759262242097634242516171655220247139493781797037154015083365765927208908459195826129369574971969236719266807754643418871028524632429800160160842995594567806407707557412384564676072702598525507969733384431936498244718708968269352492866166528627198880446200566423307446006391432174955093682994878979056041727747208872536828529306075153293281050298572233911241469772665223988794267110916064082164201548472941230853397786301550651206392418867184749073432359606215168156611840434514669615985
0022   011000000   640   0 04:05:02.0   0.36815118816955999195469999957870033013586637967864187434971573330812882976620822332612927683942028000039175029813670470650320395520676944206958489491727993663464883338569344050457753553663739555132172065700197558844670867159854280559192096940766875522171339227676958378412237762109074807104655556793197852685608138412972548567547000798138851410849790877309827515598203687197119522030485654822730420949720003895007856134503240809018487201537417599369326839525565138781398416480543921030866353177158619
0023   011500000   637   0 04:15:40.0   0.36814521390592882823944649467824330646172696578232485390700788636913678228653490341627805569448852038746012906845323269837475018477686026744196270946096982239659175867280483396669884139697821097579023203572143481601251036124909602609878582738467221914818981255376725925101637623073888128804071290378621793160693089310203177918443990269147041537949640427594055736178837471633138375698750735140481286091262102539046562648878862150246556411536081396845949153815891002919625584363019300756636613183212401
0024   012000000   631   0 04:26:11.0   0.36813961707986490301116577649449997276433039719783569051846992676904207170054225907998207614254717996918396001342416631025459906454425670458377310926852357531650994668909712379809399739781647307274078418635748887371759458117231321816105046548134984777155266501604648285531469242328194870374379121880473095218501112932575822394075486411185552727726386363999551846583950717407976991000430877747738887150122866736094713907435829401389117864319031651638948034977494497928917163046965179141117358371427842
0025   012500000   669   0 04:37:20.0   0.36813435955337234126409173056255733781766767764445127706291009546378331993763695171523685359746210840369287420916140815466196060589424911541397317382048052070370606013913076282979628105755728231381882290661827467244201982706726900814993614359499824066620781154973894954615437781011568128758930567624058322768230440473942435954703886715740066957069678379544437689515554972686088604971312599468710345953571443004921644010347082128424370204193480841156892238749248789971113183504452628341293009710795623
0026   013000000   675   0 04:48:37.0   0.36812940837422308345317375696590580554018953721286096998482719914035990101653032340223354998977239726753138175845099200899772413523609057474384049075977140458082632116997481164971261178979992976375590874918433060778118893187417151046169083829127701348534332366041677951011123935838628648438187821931556783730705020377200340036215626820627122543939861698237212285685159547556949984735048649628311069570319937300153615989499989569225473007490195035825308907315116453811174286402343091720266729834136128
0027   013500000   675   0 04:59:52.0   0.36812473490322255285807510793491316887415753276888975404096393369135382330261210662534995224554341114634324257066370203450732843985300951972353850771852093132224693160927794255526880193660735284770947864892524143964557490580600232144017866211131119596145006358749924972359128074066999561364507645812325705898438436719895127102977336539283900114154734963245767157971234632498741256543023923973202989260374040951452835557833522924066313534016025186157826559848065760034769826301058010427142337573191504
0028   014000000   663   0 05:10:55.0   0.3681203141145273655445513342241032298960469588781311384829597466129566998389803249926218442408745136308208576479244288487114300992679560829482516166743447544624601768778386971947525701524886047184560216876876960219215424531553835831888692493305114378831067645220717475223386773696099482684078398789301579837245078920021241686020915713114932570684982008628631463384908406049404599712202422515606294997024381679891928808751619640848431890915249364811336030060439315380311537840498881338131272082188083
0029   014500000   643   0 05:21:39.0   0.36811612402987149892886581497856664535013464406757885466987116320694105356172138307255772593124667914718381205363325565805461517577817151021551142357368353374963523192115841485286656118792216792290168034590775997927489814551144387975545419263518059983940601331509193000103255954601427319768754376905776262453132769293324918721781808569379008875089067579520450524920676357645703735241671534532230519361215381078201974456678011156757626304461114919921097401535383405558962690908857364074504706590644272
