n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
  0  00.01  00.00  1.0000000000000000000000000000000  0.5000000000000000000000000000000  0.0000000000000000000000000000000  0.5000000000000000000000000000000  
  2  00.00  00.00  0.7834305107121344313725330721354  0.5731215670436196063519673771225  0.2165694892878655686274669278646  0.2103089436685148250205656950129  
  4  00.01  00.00  0.7313397798915712844092240629834  0.5975776349457144753785087232245  0.2686602201084287155907759370166  0.1337621449458568090307153397589  
  6  00.01  00.00  0.7106589413983663838791926536942  0.6088236674897088418489943251188  0.2893410586016336161208073463058  0.1018352739086575420301983285754  
  8  00.01  00.00  0.7002371602402726047387204744155  0.6149950812974244174213822589081  0.2997628397597273952612795255845  0.0852420789428481873173382155073  
 10  00.01  00.01  0.6941860893836225843145371072751  0.6187864418352215789553838476422  0.3058139106163774156854628927249  0.0753996475484010053591532596329  
 12  00.02  00.00  0.6903267341120866706916103794356  0.6213049206571787941300044622039  0.3096732658879133293083896205644  0.0690218134549078765616059172316  
 14  00.01  00.01  0.6876953667409649861852471985912  0.6230761823349525441173568651720  0.3123046332590350138147528014088  0.0646191844060124420678903334192  
 16  00.01  00.01  0.6858097002094190042242871641065  0.6243772339004006743934382939187  0.3141902997905809957757128358935  0.0614324663090183298308488701878  
 18  00.01  00.01  0.6844053823863471830435400988790  0.6253660390130405533071211721108  0.3155946176136528169564599011210  0.0590393433733066297364189267682  
 20  00.01  00.01  0.6833270197086149799758914014092  0.6261384249938183321759765931347  0.3166729802913850200241085985908  0.0571885947147966477999148082745  
 22  00.01  00.02  0.6824780597879047672194019469316  0.6267554911027672925882825438748  0.3175219402120952327805980530684  0.0557225686851374746311194030568  
 24  00.02  00.01  0.6817957470544427911463003511017  0.6272578199546888777504705103638  0.3182042529455572088536996488983  0.0545379270997539133958298407379  
 26  00.01  00.01  0.6812377423941107235094705174561  0.6276733038893315130835048876179  0.3187622576058892764905294825439  0.0535644385047792104259656298382  
 28  00.01  00.02  0.6807745699261539273905441405077  0.6280216767722570647691782141919  0.3192254300738460726094558594923  0.0527528931538968626213659263158  
 30  00.02  00.03  0.6803851518732334513472892467689  0.6283172518357305058600559277693  0.3196148481267665486527107532311  0.0520679000375029454872333189996  
 32  00.03  00.02  0.6800540633294460679536541647394  0.6285706369587246156172000155493  0.3199459366705539320463458352606  0.0514834263707214523364541491901  
 34  00.02  00.02  0.6797697864385300325906769103312  0.6287898436931483869827275157149  0.3202302135614699674093230896688  0.0509799427453816456079493946163  
 36  00.02  00.02  0.6795235670106630765374688962766  0.6289810243434887926383680678555  0.3204764329893369234625311037234  0.0505425426671742838991008284211  
 38  00.01  00.03  0.6793086461026278666253119808971  0.6291489738940462261851394032419  0.3206913538973721333746880191029  0.0501596722085816404401725776552  
 40  00.02  00.03  0.6791197316550084961406241745863  0.6292974792648670101513630470436  0.3208802683449915038593758254137  0.0498222523901414859892611275427  
 42  00.02  00.03  0.6789526277136279652779649040895  0.6294295670722295232835108436120  0.3210473722863720347220350959105  0.0495230606413984419944540604774  
 44  00.03  00.03  0.6788039694367682397313501496683  0.6295476824678108984656432767224  0.3211960305632317602686498503317  0.0492562869689573412657068729459  
 46  00.02  00.03  0.6786710305588385949704388622195  0.6296538202720135535273016103019  0.3213289694411614050295611377805  0.0490172102868250414431372519175  
 48  00.03  00.03  0.6785515813925734329714600789885  0.6297496225087170218515097985801  0.3214484186074265670285399210115  0.0488019588838564111199502804084  
 50  00.03  00.03  0.6784437826689166950444587200764  0.6298364519004947537084149189468  0.3215562173310833049555412799236  0.0486073307684219413360438011296  
 52  00.03  00.03  0.6783461051757765369885078143852  0.6299154479137034634561587154167  0.3216538948242234630114921856148  0.0484306572620730735323490989686  
 54  00.03  00.03  0.6782572682269834007939834918943  0.6299875699677911500273808087513  0.3217427317730165992060165081057  0.0482696982591922507666026831430  
